notation,path ,name,description
,\Atmosphere\POPs\C12HCl7O (1234678_HpCDF),C12HCl7O (1234678_HpCDF),"IUPAC: 1,2,3,4,6,7,8-heptachlorodibenzofuran, PubChem CID: 38199, CAS Number: 38998-75-3"
,\Atmosphere\Aerosol\Composition\C12H2Cl6O2 (123478_HxCDD),C12H2Cl6O2 (123478_HxCDD),"IUPAC: 1,2,3,4,7,8-hexachlorodibenzo-p-dioxin, PubChem CID: 38251, CAS Number: 39227-28-6"
,\Atmosphere\Total atmospheric deposition\C12H2Cl6O2 (123478_HxCDD),C12H2Cl6O2 (123478_HxCDD),"IUPAC: 1,2,3,4,7,8-hexachlorodibenzo-p-dioxin, PubChem CID: 38251, CAS Number: 39227-28-6"
,\Atmosphere\POPs\C12H2Cl6O2 (123478_HxCDD),C12H2Cl6O2 (123478_HxCDD),"IUPAC: 1,2,3,4,7,8-hexachlorodibenzo-p-dioxin, PubChem CID: 38251, CAS Number: 39227-28-6"
,\Atmosphere\Aerosol\Composition\C12H2Cl6O (123478_HxCDF),C12H2Cl6O (123478_HxCDF),"IUPAC: 1,2,3,4,7,8-hexachlorodibenzofuran, PubChem CID: 51130, CAS Number: 70648-26-9"
,\Atmosphere\Total atmospheric deposition\C12H2Cl6O (123478_HxCDF),C12H2Cl6O (123478_HxCDF),"IUPAC: 1,2,3,4,7,8-hexachlorodibenzofuran, PubChem CID: 51130, CAS Number: 70648-26-9"
,\Atmosphere\POPs\C12H2Cl6O (123478_HxCDF),C12H2Cl6O (123478_HxCDF),"IUPAC: 1,2,3,4,7,8-hexachlorodibenzofuran, PubChem CID: 51130, CAS Number: 70648-26-9"
,\Atmosphere\Aerosol\Composition\C12HCl7O (1234789_HpCDF),C12HCl7O (1234789_HpCDF),"IUPAC: 1,2,3,4,7,8,9-heptachlorodibenzofuran, PubChem CID: 41510, CAS Number: 55673-89-7"
,\Atmosphere\Total atmospheric deposition\C12HCl7O (1234789_HpCDF),C12HCl7O (1234789_HpCDF),"IUPAC: 1,2,3,4,7,8,9-heptachlorodibenzofuran, PubChem CID: 41510, CAS Number: 55673-89-7"
,\Atmosphere\POPs\C12HCl7O (1234789_HpCDF),C12HCl7O (1234789_HpCDF),"IUPAC: 1,2,3,4,7,8,9-heptachlorodibenzofuran, PubChem CID: 41510, CAS Number: 55673-89-7"
,\Atmosphere\Aerosol\Composition\C12H2Cl6O2 (123678_HxCDD),C12H2Cl6O2 (123678_HxCDD),"IUPAC: 1,2,3,6,7,8-hexachlorodibenzo-p-dioxin, PubChem CID: 42540, CAS Number: 57653-85-7"
,\Atmosphere\Total atmospheric deposition\C12H2Cl6O2 (123678_HxCDD),C12H2Cl6O2 (123678_HxCDD),"IUPAC: 1,2,3,6,7,8-hexachlorodibenzo-p-dioxin, PubChem CID: 42540, CAS Number: 57653-85-7"
,\Atmosphere\POPs\C12H2Cl6O2 (123678_HxCDD),C12H2Cl6O2 (123678_HxCDD),"IUPAC: 1,2,3,6,7,8-hexachlorodibenzo-p-dioxin, PubChem CID: 42540, CAS Number: 57653-85-7"
,\Atmosphere\Aerosol\Composition\C12H2Cl6O (123678_HxCDF),C12H2Cl6O (123678_HxCDF),"IUPAC: 1,2,3,6,7,8-hexachlorodibenzofuran, PubChem CID: 42140, CAS Number: 57117-44-9"
,\Atmosphere\Total atmospheric deposition\C12H2Cl6O (123678_HxCDF),C12H2Cl6O (123678_HxCDF),"IUPAC: 1,2,3,6,7,8-hexachlorodibenzofuran, PubChem CID: 42140, CAS Number: 57117-44-9"
,\Atmosphere\POPs\C12H2Cl6O (123678_HxCDF),C12H2Cl6O (123678_HxCDF),"IUPAC: 1,2,3,6,7,8-hexachlorodibenzofuran, PubChem CID: 42140, CAS Number: 57117-44-9"
,\Atmosphere\Aerosol\Composition\C12H3Cl5O2 (12378_PeCDD),C12H3Cl5O2 (12378_PeCDD),"IUPAC: 1,2,3,7,8-pentachlorodibenzo-p-dioxin, PubChem CID: 38439, CAS Number: 40321-76-4"
,\Atmosphere\Total atmospheric deposition\C12H3Cl5O2 (12378_PeCDD),C12H3Cl5O2 (12378_PeCDD),"IUPAC: 1,2,3,7,8-pentachlorodibenzo-p-dioxin, PubChem CID: 38439, CAS Number: 40321-76-4"
,\Atmosphere\POPs\C12H3Cl5O2 (12378_PeCDD),C12H3Cl5O2 (12378_PeCDD),"IUPAC: 1,2,3,7,8-pentachlorodibenzo-p-dioxin, PubChem CID: 38439, CAS Number: 40321-76-4"
,\Atmosphere\Aerosol\Composition\C12H3Cl5O (12378_PeCDF),C12H3Cl5O (12378_PeCDF),"IUPAC: 1,2,3,7,8-pentachlorodibenzofuran, PubChem CID: 42138, CAS Number: 57117-41-6"
,\Atmosphere\Total atmospheric deposition\C12H3Cl5O (12378_PeCDF),C12H3Cl5O (12378_PeCDF),"IUPAC: 1,2,3,7,8-pentachlorodibenzofuran, PubChem CID: 42138, CAS Number: 57117-41-6"
,\Atmosphere\POPs\C12H3Cl5O (12378_PeCDF),C12H3Cl5O (12378_PeCDF),"IUPAC: 1,2,3,7,8-pentachlorodibenzofuran, PubChem CID: 42138, CAS Number: 57117-41-6"
,\Atmosphere\Aerosol\Composition\C12H2Cl6O2 (123789_HxCDD),C12H2Cl6O2 (123789_HxCDD),"IUPAC: 1,2,3,7,8,9-hexachlorodibenzo-p-dioxin, PubChem CID: 29575, CAS Number: 19408-74-3"
,\Atmosphere\Total atmospheric deposition\C12H2Cl6O2 (123789_HxCDD),C12H2Cl6O2 (123789_HxCDD),"IUPAC: 1,2,3,7,8,9-hexachlorodibenzo-p-dioxin, PubChem CID: 29575, CAS Number: 19408-74-3"
,\Atmosphere\POPs\C12H2Cl6O2 (123789_HxCDD),C12H2Cl6O2 (123789_HxCDD),"IUPAC: 1,2,3,7,8,9-hexachlorodibenzo-p-dioxin, PubChem CID: 29575, CAS Number: 19408-74-3"
,\Atmosphere\Aerosol\Composition\C12H2Cl6O (123789_HxCDF),C12H2Cl6O (123789_HxCDF),"IUPAC: 1,2,3,7,8,9-hexachlorodibenzofuran, PubChem CID: 51720, CAS Number: 72918-21-9"
,\Atmosphere\Total atmospheric deposition\C12H2Cl6O (123789_HxCDF),C12H2Cl6O (123789_HxCDF),"IUPAC: 1,2,3,7,8,9-hexachlorodibenzofuran, PubChem CID: 51720, CAS Number: 72918-21-9"
,\Atmosphere\POPs\C12H2Cl6O (123789_HxCDF),C12H2Cl6O (123789_HxCDF),"IUPAC: 1,2,3,7,8,9-hexachlorodibenzofuran, PubChem CID: 51720, CAS Number: 72918-21-9"
,\Atmosphere\Gas\C9H12 (1-2-3-trimethylbenzene),C9H12 (1-2-3-trimethylbenzene),"IUPAC: 1,2,3-trimethylbenzene, PubChem CID: 10686, CAS Number: 526-73-8"
,\Atmosphere\Aerosol\Composition\C9H12 (1-2-3-trimethylbenzene),C9H12 (1-2-3-trimethylbenzene),"IUPAC: 1,2,3-trimethylbenzene, PubChem CID: 10686, CAS Number: 526-73-8"
,\Atmosphere\Total atmospheric deposition\C9H12 (1-2-3-trimethylbenzene),C9H12 (1-2-3-trimethylbenzene),"IUPAC: 1,2,3-trimethylbenzene, PubChem CID: 10686, CAS Number: 526-73-8"
,\Atmosphere\Gas\C4H6 (1-butyne),C4H6 (1-butyne),"IUPAC: but-1-yne, PubChem CID: 7846, CAS Number: 107-00-6"
,\Atmosphere\Gas\C7H16 (2-2-3-trimethylbutane),C7H16 (2-2-3-trimethylbutane),"IUPAC: 2,2,3-trimethylbutane, PubChem CID: 10044, CAS Number: 464-06-2"
,\Atmosphere\Gas\C8H18 (2-2-4-trimethylpentane),C8H18 (2-2-4-trimethylpentane),"IUPAC: 2,2,4-trimethylpentane, PubChem CID: 10907, CAS Number: 540-84-1"
,\Atmosphere\Gas\C7H16 (2-2-dimethylpentane),C7H16 (2-2-dimethylpentane),"IUPAC: 2,2-dimethylpentane, PubChem CID: 11542, CAS Number: 590-35-2"
,\Atmosphere\Aerosol\Composition\C12H2Cl6O (234678_HxCDF),C12H2Cl6O (234678_HxCDF),"IUPAC: 2,3,4,6,7,8-hexachlorodibenzofuran, PubChem CID: 43495, CAS Number: 60851-34-5"
,\Atmosphere\Total atmospheric deposition\C12H2Cl6O (234678_HxCDF),C12H2Cl6O (234678_HxCDF),"IUPAC: 2,3,4,6,7,8-hexachlorodibenzofuran, PubChem CID: 43495, CAS Number: 60851-34-5"
,\Atmosphere\POPs\C12H2Cl6O (234678_HxCDF),C12H2Cl6O (234678_HxCDF),"IUPAC: 2,3,4,6,7,8-hexachlorodibenzofuran, PubChem CID: 43495, CAS Number: 60851-34-5"
,\Atmosphere\Aerosol\Composition\C12H3Cl5O (23478_PeCDF),C12H3Cl5O (23478_PeCDF),"IUPAC: 2,3,4,7,8-pentachlorodibenzofuran, PubChem CID: 42128, CAS Number: 57117-31-4"
,\Atmosphere\Total atmospheric deposition\C12H3Cl5O (23478_PeCDF),C12H3Cl5O (23478_PeCDF),"IUPAC: 2,3,4,7,8-pentachlorodibenzofuran, PubChem CID: 42128, CAS Number: 57117-31-4"
,\Atmosphere\POPs\C12H3Cl5O (23478_PeCDF),C12H3Cl5O (23478_PeCDF),"IUPAC: 2,3,4,7,8-pentachlorodibenzofuran, PubChem CID: 42128, CAS Number: 57117-31-4"
,\Atmosphere\Aerosol\Composition\C12H4Cl4O2 (2378_TCDD),C12H4Cl4O2 (2378_TCDD),"IUPAC: 2,3,7,8-tetrachlorodibenzo-p-dioxin, PubChem CID: 15625, CAS Number: 1746-01-6"
,\Atmosphere\Total atmospheric deposition\C12H4Cl4O2 (2378_TCDD),C12H4Cl4O2 (2378_TCDD),"IUPAC: 2,3,7,8-tetrachlorodibenzo-p-dioxin, PubChem CID: 15625, CAS Number: 1746-01-6"
,\Atmosphere\POPs\C12H4Cl4O2 (2378_TCDD),C12H4Cl4O2 (2378_TCDD),"IUPAC: 2,3,7,8-tetrachlorodibenzo-p-dioxin, PubChem CID: 15625, CAS Number: 1746-01-6"
,\Atmosphere\Aerosol\Composition\C12H4Cl4O (2378_TCDF),C12H4Cl4O (2378_TCDF),"IUPAC: 2,3,7,8-tetrachlorodibenzofuran, PubChem CID: 39929, CAS Number: 51207-31-9"
,\Atmosphere\Total atmospheric deposition\C12H4Cl4O (2378_TCDF),C12H4Cl4O (2378_TCDF),"IUPAC: 2,3,7,8-tetrachlorodibenzofuran, PubChem CID: 39929, CAS Number: 51207-31-9"
,\Atmosphere\POPs\C12H4Cl4O (2378_TCDF),C12H4Cl4O (2378_TCDF),"IUPAC: 2,3,7,8-tetrachlorodibenzofuran, PubChem CID: 39929, CAS Number: 51207-31-9"
,\Atmosphere\Gas\C7H16 (2-3-dimethylpentane),C7H16 (2-3-dimethylpentane),"IUPAC: 2,3-dimethylpentane, PubChem CID: 11260, CAS Number: 565-59-3"
,\Atmosphere\Gas\C7H16 (2-4-dimethylpentane),C7H16 (2-4-dimethylpentane),"IUPAC: 2,4-dimethylpentane, PubChem CID: 7907, CAS Number: 108-08-7"
,\Atmosphere\Gas\C7H16 (3-3-dimethylpentane),C7H16 (3-3-dimethylpentane),"IUPAC: 3,3-dimethylpentane, PubChem CID: 11229, CAS Number: 562-49-2"
,\Atmosphere\Gas\C8H18 (3-methylheptane),C8H18 (3-methylheptane),"IUPAC: 3-methylheptane, PubChem CID: 11519, CAS Number: 589-81-1"
,\Atmosphere\Gas\C10H16 (alpha-pinene),C10H16 (alpha-pinene),"IUPAC: 2,6,6-trimethylbicyclo[3.1.1]hept-2-ene, PubChem CID: 6654, CAS Number: 80-56-8"
,\Atmosphere\Aerosol\Composition\C10H16 (alpha-pinene),C10H16 (alpha-pinene),"IUPAC: 2,6,6-trimethylbicyclo[3.1.1]hept-2-ene, PubChem CID: 6654, CAS Number: 80-56-8"
,\Atmosphere\Total atmospheric deposition\C10H16 (alpha-pinene),C10H16 (alpha-pinene),"IUPAC: 2,6,6-trimethylbicyclo[3.1.1]hept-2-ene, PubChem CID: 6654, CAS Number: 80-56-8"
,\Atmosphere\Aerosol\Composition\C12H5Br5O (BDE-100),C12H5Br5O (BDE-100),"IUPAC: 1,3,5-tribromo-2-(2,4-dibromophenoxy)benzene, PubChem CID: 154083, CAS Number: 189084-64-8"
,\Atmosphere\Total atmospheric deposition\C12H5Br5O (BDE-100),C12H5Br5O (BDE-100),"IUPAC: 1,3,5-tribromo-2-(2,4-dibromophenoxy)benzene, PubChem CID: 154083, CAS Number: 189084-64-8"
,\Atmosphere\POPs\C12H5Br5O (BDE-100),C12H5Br5O (BDE-100),"IUPAC: 1,3,5-tribromo-2-(2,4-dibromophenoxy)benzene, PubChem CID: 154083, CAS Number: 189084-64-8"
,\Atmosphere\Aerosol\Composition\C12H4Br6O (BDE-138),C12H4Br6O (BDE-138),"IUPAC: 1,2,3-tribromo-4-(2,4,5-tribromophenoxy)benzene, PubChem CID: 15254861, CAS Number: 182677-30-1"
,\Atmosphere\Total atmospheric deposition\C12H4Br6O (BDE-138),C12H4Br6O (BDE-138),"IUPAC: 1,2,3-tribromo-4-(2,4,5-tribromophenoxy)benzene, PubChem CID: 15254861, CAS Number: 182677-30-1"
,\Atmosphere\POPs\C12H4Br6O (BDE-138),C12H4Br6O (BDE-138),"IUPAC: 1,2,3-tribromo-4-(2,4,5-tribromophenoxy)benzene, PubChem CID: 15254861, CAS Number: 182677-30-1"
,\Atmosphere\Aerosol\Composition\C12H4Br6O (BDE-153),C12H4Br6O (BDE-153),"IUPAC: 1,2,4-tribromo-5-(2,4,5-tribromophenoxy)benzene, PubChem CID: 155166, CAS Number: 68631-49-2"
,\Atmosphere\Total atmospheric deposition\C12H4Br6O (BDE-153),C12H4Br6O (BDE-153),"IUPAC: 1,2,4-tribromo-5-(2,4,5-tribromophenoxy)benzene, PubChem CID: 155166, CAS Number: 68631-49-2"
,\Atmosphere\POPs\C12H4Br6O (BDE-153),C12H4Br6O (BDE-153),"IUPAC: 1,2,4-tribromo-5-(2,4,5-tribromophenoxy)benzene, PubChem CID: 155166, CAS Number: 68631-49-2"
,\Atmosphere\Aerosol\Composition\C12H4Br6O (BDE-154),C12H4Br6O (BDE-154),"IUPAC: 1,2,4-tribromo-5-(2,4,6-tribromophenoxy)benzene, PubChem CID: 15509898, CAS Number: 207122-15-4"
,\Atmosphere\Total atmospheric deposition\C12H4Br6O (BDE-154),C12H4Br6O (BDE-154),"IUPAC: 1,2,4-tribromo-5-(2,4,6-tribromophenoxy)benzene, PubChem CID: 15509898, CAS Number: 207122-15-4"
,\Atmosphere\POPs\C12H4Br6O (BDE-154),C12H4Br6O (BDE-154),"IUPAC: 1,2,4-tribromo-5-(2,4,6-tribromophenoxy)benzene, PubChem CID: 15509898, CAS Number: 207122-15-4"
,\Atmosphere\Aerosol\Composition\C12H7Br3O (BDE-17),C12H7Br3O (BDE-17),"IUPAC: 2,4-dibromo-1-(2-bromophenoxy)benzene, PubChem CID: 14274807, CAS Number: 147217-75-2"
,\Atmosphere\Total atmospheric deposition\C12H7Br3O (BDE-17),C12H7Br3O (BDE-17),"IUPAC: 2,4-dibromo-1-(2-bromophenoxy)benzene, PubChem CID: 14274807, CAS Number: 147217-75-2"
,\Atmosphere\POPs\C12H7Br3O (BDE-17),C12H7Br3O (BDE-17),"IUPAC: 2,4-dibromo-1-(2-bromophenoxy)benzene, PubChem CID: 14274807, CAS Number: 147217-75-2"
,\Atmosphere\Aerosol\Composition\C12H3Br7O (BDE-183),C12H3Br7O (BDE-183),"IUPAC: 1,2,3,5-tetrabromo-4-(2,4,5-tribromophenoxy)benzene, PubChem CID: 15509899, CAS Number: 207122-16-5"
,\Atmosphere\Total atmospheric deposition\C12H3Br7O (BDE-183),C12H3Br7O (BDE-183),"IUPAC: 1,2,3,5-tetrabromo-4-(2,4,5-tribromophenoxy)benzene, PubChem CID: 15509899, CAS Number: 207122-16-5"
,\Atmosphere\POPs\C12H3Br7O (BDE-183),C12H3Br7O (BDE-183),"IUPAC: 1,2,3,5-tetrabromo-4-(2,4,5-tribromophenoxy)benzene, PubChem CID: 15509899, CAS Number: 207122-16-5"
,\Atmosphere\Aerosol\Composition\C12H3Br7O (BDE-190),C12H3Br7O (BDE-190),"IUPAC: 1,2,3,4,5-pentabromo-6-(3,4-dibromophenoxy)benzene, PubChem CID: 12110099, CAS Number: 189084-68-2"
,\Atmosphere\Total atmospheric deposition\C12H3Br7O (BDE-190),C12H3Br7O (BDE-190),"IUPAC: 1,2,3,4,5-pentabromo-6-(3,4-dibromophenoxy)benzene, PubChem CID: 12110099, CAS Number: 189084-68-2"
,\Atmosphere\POPs\C12H3Br7O (BDE-190),C12H3Br7O (BDE-190),"IUPAC: 1,2,3,4,5-pentabromo-6-(3,4-dibromophenoxy)benzene, PubChem CID: 12110099, CAS Number: 189084-68-2"
,\Atmosphere\Aerosol\Composition\C12Br10O (BDE-209),C12Br10O (BDE-209),"IUPAC: 1,2,3,4,5-pentabromo-6-(2,3,4,5,6-pentabromophenoxy)benzene, PubChem CID: 14410, CAS Number: 1163-19-5"
,\Atmosphere\Total atmospheric deposition\C12Br10O (BDE-209),C12Br10O (BDE-209),"IUPAC: 1,2,3,4,5-pentabromo-6-(2,3,4,5,6-pentabromophenoxy)benzene, PubChem CID: 14410, CAS Number: 1163-19-5"
,\Atmosphere\POPs\C12Br10O (BDE-209),C12Br10O (BDE-209),"IUPAC: 1,2,3,4,5-pentabromo-6-(2,3,4,5,6-pentabromophenoxy)benzene, PubChem CID: 14410, CAS Number: 1163-19-5"
,\Atmosphere\Aerosol\Composition\C12H7Br3O (BDE-28),C12H7Br3O (BDE-28),"IUPAC: 2,4-dibromo-1-(4-bromophenoxy)benzene, PubChem CID: 12110098, CAS Number: 41318-75-6"
,\Atmosphere\Total atmospheric deposition\C12H7Br3O (BDE-28),C12H7Br3O (BDE-28),"IUPAC: 2,4-dibromo-1-(4-bromophenoxy)benzene, PubChem CID: 12110098, CAS Number: 41318-75-6"
,\Atmosphere\POPs\C12H7Br3O (BDE-28),C12H7Br3O (BDE-28),"IUPAC: 2,4-dibromo-1-(4-bromophenoxy)benzene, PubChem CID: 12110098, CAS Number: 41318-75-6"
,\Atmosphere\Aerosol\Composition\C12H6Br4O (BDE-47),C12H6Br4O (BDE-47),"IUPAC: 2,4-dibromo-1-(2,4-dibromophenoxy)benzene, PubChem CID: 95170, CAS Number: 5436-43-1"
