#	WMO306CD_efrs	QualityFlagSysURL_efrs	Path_e	Name_e	Definition_e
24	tempDrop			FM 37 - TEMP DROP	"Upper-level pressure, temperature, humidity and wind report from a sonde released by carrier balloons or aircraft. Manual on Codes Volume I.1. http://wis.wmo.int/ManCodes1"
25	tempMobil			FM 38 - TEMP MOBIL	"Upper-level pressure, temperature, humidity and wind report from a mobile land station. Manual on Codes Volume I.1. http://wis.wmo.int/ManCodes1"
26	rocob			FM 39 - ROCOB	"Upper-level temperature, wind and air density report from a land rocketsonde station. Manual on Codes Volume I.1. http://wis.wmo.int/ManCodes1"
27	rocobShip			FM 40 - ROCOB SHIP	"Upper-level temperature, wind and air density report from a rocketsonde station on a ship. Manual on Codes Volume I.1. http://wis.wmo.int/ManCodes1"
28	codar			FM 41 - CODAR	Upper-air report from an aircraft (other than weather reconnaissance aircraft). Manual on Codes Volume I.1. http://wis.wmo.int/ManCodes1
29	amdar			FM 42 - AMDAR	Aircraft report (aircraft meteorological data relay). Manual on Codes Volume I.1. http://wis.wmo.int/ManCodes1
30	icean			FM 44 - ICEAN	Ice analysis. Manual on Codes Volume I.1. http://wis.wmo.int/ManCodes1
31	IAC			FM 45 - IAC	Analysis in full form. Manual on Codes Volume I.1. http://wis.wmo.int/ManCodes1
32	iacFleet			FM 46 - IAC FLEET	Analysis in abbreviated form. Manual on Codes Volume I.1. http://wis.wmo.int/ManCodes1
33	grid			FM 47 - GRID	Processed data in the form of grid-point values. Manual on Codes Volume I.1. http://wis.wmo.int/ManCodes1
34	graf			FM 49 - GRAF	Processed data in the form of grid-point vlues (abbreviated code form). Manual on Codes Volume I.1. http://wis.wmo.int/ManCodes1
35	wintem			FM 50 - WINTEM	Forecast upper wind and temperature for aviation. Manual on Codes Volume I.1. http://wis.wmo.int/ManCodes1
36	taf			FM 51 - TAF	Aerodrome forecast. Manual on Codes Volume I.1. http://wis.wmo.int/ManCodes1
37	arfor			FM 53 - ARFOR	Area forecast for aviation. Manual on Codes Volume I.1. http://wis.wmo.int/ManCodes1
38	rofor			FM 54 - ROFOR	Route forecast for aviation. Manual on Codes Volume I.1. http://wis.wmo.int/ManCodes1
39	radof			FM 57 - RADOF	Radiological trajectory dose forecast (defined time of arrival and location). Manual on Codes Volume I.1. http://wis.wmo.int/ManCodes1
40	mafor			FM 61 - MAFOR	Forecast for shipping. Manual on Codes Volume I.1. http://wis.wmo.int/ManCodes1
41	trackob			FM 62 - TRACKOB	Report of marine surface observation along a ship's track. Manual on Codes Volume I.1. http://wis.wmo.int/ManCodes1
42	bathy			FM 63 - BATHY	Report of bathythermal observation. Manual on Codes Volume I.1. http://wis.wmo.int/ManCodes1
43	tesac			FM 64 - TESAC	"Temperature, salinity and current report from a sea station. Manual on Codes Volume I.1. http://wis.wmo.int/ManCodes1"
44	waveob			FM 65 - WAVEOB	Report of spectral wave information from a sea station or from a remote platform (aircraft or satellite). Manual on Codes Volume I.1. http://wis.wmo.int/ManCodes1
45	hydra			FM  67 - HYDRA	Report of hydrological observation from a hydrological station. Manual on Codes Volume I.1. http://wis.wmo.int/ManCodes1
46	hyfor			FM 68 - HYFOR	Hydrological forecast. Manual on Codes Volume I.1. http://wis.wmo.int/ManCodes1
47	climat			FM 71 - CLIMAT	Report of monthly values from a land station.  Manual on Codes Volume I.1. http://wis.wmo.int/ManCodes1
48	climatShip			FM 72 - CLIMAT SHIP	Report of monthly means and totals from an ocean weather station. Manual on Codes Volume I.1. http://wis.wmo.int/ManCodes1
49	nacli			"FM 73 - NACLI, CLINP, SPCLI, CLISA, INCLI"	Report of monthly means for an oceanic area. Manual on Codes Volume I.1. http://wis.wmo.int/ManCodes1
50	climatTemp			FM 75 - CLIMAT TEMP	Report of monthly aerological means form  a land station. Manual on Codes Volume I.1. http://wis.wmo.int/ManCodes1
51	climatTempShip			FM 76 - CLIMAT TEMP SHIP	Report of monthly aerological means form an ocean weather station. Manual on Codes Volume I.1. http://wis.wmo.int/ManCodes1
52	sfazi			FM 81 - SFAZI	Synoptic report of bearings of sources of atmospherics. Manual on Codes Volume I.1. http://wis.wmo.int/ManCodes1
53	sfloc			FM 82 - SFLOC	Synoptic report of the geographical location of sources of atmospherics. Manual on Codes Volume I.1. http://wis.wmo.int/ManCodes1
54	sfazu			FM 83 - SFAZU	Detailed report of the distribution of sources of atmospherics by bearings for any period up to and including 24 hours. Manual on Codes Volume I.1. http://wis.wmo.int/ManCodes1
55	sarep			FM 85 - SAREP	Report of synoptic interpretation of cloud data obtained by a meteorological satellite. Manual on Codes Volume I.1. http://wis.wmo.int/ManCodes1
56	satem			FM 86 - SATEM	"Report of satellite remote upper-air soundings of pressure, temperature and humidity. Manual on Codes Volume I.1. http://wis.wmo.int/ManCodes1"
57	sarad			FM 87 - SARAD	Report of satellite clear radiance observations. Manual on Codes Volume I.1. http://wis.wmo.int/ManCodes1
58	satob			FM 88 - SATOB	"Report of satellite observations of wind, surface temperature, cloud, humidity and radiation. Manual on Codes Volume I.1. http://wis.wmo.int/ManCodes1"
59	grib			FM 92 - GRIB	Processed data in the form of grid-point values expressed in binary form. Manual on Codes Volume I.1. http://wis.wmo.int/ManCodes2
60	bufr			FM 94 - BUFR	Binary Universal Form for the Representation of meteorological data. Manual on Codes Volume I.1. http://wis.wmo.int/ManCodes2
61	crex			FM 95 - CREX	Character form for the representation and exchange of data. Manual on Codes Volume I.1. http://wis.wmo.int/ManCodes1
62	collect			FM 201 - COLLECT	Collection of reports that use the same XML application schemas. Manual on Codes Volume I.1. http://wis.wmo.int/ManCodes3
63	metce			FM 202 - METCE	Meteorological information. Manual on Codes Volume I.1. http://wis.wmo.int/ManCodes3
64	opmXML			FM 203 - OPM-XML	Observable property model. Manual on Codes Volume I.1. http://wis.wmo.int/ManCodes3
65	safXML			FM 204 - SAF-XML	Simple aeronautical features. Manual on Codes Volume I.1. http://wis.wmo.int/ManCodes3
66	iwxxmXML			FM 205 - IWXXM-XML	International Civil Aviation Organization meteorological information exchange model. Manual on Codes Volume I.1. http://wis.wmo.int/ManCodes3
11	synop			FM 12 - SYNOP	Report of surface observation from a fixed land station. Manual on Codes Volume I.1. http://wis.wmo.int/ManCodes1
