WIGOS_OoI, Description, Matrix, Object_Constraints
"3-methyl-1-butene","IUPAC: 3-methylbut-1-ene, PubChem CID: 11239, CAS Number: 563-45-1, in gas phase@en",Gas,
"3-methylfuran","IUPAC: 3-Methylfuran, PubChem CID: 13587, CAS Number: 930-27-8, in gas phase@en",Gas,
"3-methylpentane","IUPAC: 3-methylpentane, PubChem CID: 7282, CAS Number: 96-14-0, in gas phase@en",Gas,
"9H-fluorene","IUPAC: 9H-fluorene, PubChem CID: 6853, CAS Number: 86-73-7, in gas phase@en",Gas,
"Abies","Fir pollen@en",pollen,
"Acer","Maple pollen@en",pollen,
"acetaldehyde","IUPAC: acetaldehyde, PubChem CID: 177, CAS Number: 75-07-0, in gas phase@en",Gas,
"acetate","IUPAC: acetate, PubChem CID: 175, CAS Number: 71-50-1, in total deposition@en",air\aerosol particles,total deposition\PM1
"acetone","IUPAC: propan-2-one, PubChem CID: 180, CAS Number: 67-64-1, in gas phase@en",Gas,
"acetonitrile","IUPAC: acetonitrile, PubChem CID: 6342, CAS Number: 75-05-8, in gas phase@en",Gas,
"acrylonitrile","IUPAC: Prop-2-enenitrile, PubChem CID: 7855, CAS Number: 107-13-1, in gas phase@en",Gas,
"Actinium-228","IUPAC: actinium-228, PubChem CID: 105063, CAS Number: 14331-83-0@en",air,
"aerosol layer","Height of vertically localized aerosol layer above sea level@en",Atmosphere,
"Aerosol Particles","aerosol particles",Air,PM1\PM10\TSP\CCN at specific SRH\CCN SRH spectrum\at 110 nm\at 165 nm\at 35 nm\at 50 nm\at 75 nm\< 200 nm?
"Aesculus","Aesculus pollen@en",pollen,
"Air","mixture of gases, water vapour, aerosol particles, and cloud hydrometeors",Atmosphere,
"aldrin","IUPAC: (1R,4S,4aS,5S,8R,8aR)-1,2,3,4,10,10-Hexachloro-1,4,4a,5,8,8a-hexahydro-1,4:5,8-dimethanonaphthalene, PubChem CID: 2087, CAS Number: 309-00-2, in particle phase@en",aerosol particles\Gas\Air\cloud,total precipitation\wet precipitation
"Alnus","Alder pollen@en",pollen,
"alpha-pinene","IUPAC: 2,6,6-trimethylbicyclo[3.1.1]hept-2-ene, PubChem CID: 6654, CAS Number: 80-56-8, in gas phase@en",Gas,
"Alternaria","Alternaria spores@en",spores,
"aluminium","IUPAC: aluminium, PubChem CID: 5359268, CAS Number: 7429-90-5, in aerosol or deposition@en",air\aerosol particles,deposition\PM2.5\TSP
"Amaranthaceae","Amaranth family pollen@en",pollen,
"Ambrosia","Ragweed pollen@en",pollen,
"Americium-241","IUPAC: americium-241, PubChem CID: 104726, CAS Number: 14596-10-2@en",air,
"Ammonia","IUPAC: azane, PubChem CID: 222, CAS Number: 7664-41-7, in gas phase@en",Gas\aerosol particles,Gas\Air\PM2.5\PM1
"ammonium(1+)","IUPAC: azanium, PubChem CID: 223, CAS Number: 14798-03-9, in total deposition@en",air\aerosol particles,total deposition\PM10\PM2.5\TSP
"anthracene","IUPAC: anthracene, PubChem CID: 8418, CAS Number: 120-12-7, in particle phase@en",Gas\aerosol particles,PM10\TSP
"antimony","IUPAC: antimony, PubChem CID: 5354495, CAS Number: 7440-36-0, in particle phase@en",aerosol particles,PM2.5\TSP
"Antimony-122","IUPAC: antimony-122, PubChem CID: 6335836, CAS Number: 14374-79-9@en",air,
"Antimony-124","IUPAC: antimony-124, PubChem CID: 6335510, CAS Number: 14683-10-4@en",air,
"Antimony-125","IUPAC: antimony-125, PubChem CID: 6335317, CAS Number: 14234-35-6@en",air,
"Arecaceae","Palm family pollen@en",pollen,
"arsenic","IUPAC: arsenic, PubChem CID: 5359596, CAS Number: 7440-38-2, in total deposition@en",air\aerosol particles\aerosol particles,deposition\PM10\TSP
"Artemisia","Mugwort pollen@en",pollen,
"Asteraceae","Aster family pollen@en",pollen,
"Atmosphere","a layer of air surrounding the Earth",,
"barium","IUPAC: barium, PubChem CID: 5355457, CAS Number: 7440-39-3, in particle phase@en",aerosol particles,PM2.5\TSP
"barium-133","IUPAC: barium-133, PubChem CID: 5491664, CAS Number: 13981-41-4@en",air,
"barium-140","IUPAC: barium-140, PubChem CID: 6335490, CAS Number: 14798-08-4@en",air,
"benz(a)anthracene","IUPAC: benzo[a]anthracene, PubChem CID: 5954, CAS Number: 56-55-3, in particle phase@en",aerosol particles\Gas\air,PM10\precipitation\total precipitation
"benzene","IUPAC: benzene, PubChem CID: 241, CAS Number: 71-43-2, in gas phase@en",Gas,
"benzene carbaldehyde (Benzaldehyde)","IUPAC Name: benzaldehyde;prop-1-ene, PubChem CID: 20085884, in gas phase@en",Gas,
"Beryllium-7","IUPAC: beryllium-7, PubChem CID: 6335489, CAS Number: 13966-02-4@en",aerosol particles,
"beta-pinene","IUPAC: 6,6-dimethyl-2-methylidenebicyclo[3.1.1]heptane, PubChem CID: 14896, CAS Number: 127-91-3, in gas phase@en",Gas,
"Betula","Birch pollen@en",pollen,
"Betulaceae","Birch family pollen@en",pollen,
"bismuth","IUPAC: bismuth, PubChem CID: 5359367, CAS Number: 7440-69-9, in particle phase@en",aerosol particles,PM2.5\TSP
"bismuth-212","IUPAC: bismuth-212, PubChem CID: 6335500, CAS Number: 14913-49-6@en",air,
"bismuth-213","IUPAC: bismuth-213, PubChem CID: 6337093, CAS Number: 15776-20-2@en",air,
"Brassica","Brassica pollen@en",pollen,
"Brassicaceae","Cabbage family (mustards, crucifers) pollen@en",pollen,
"bromide","IUPAC: bromide, PubChem CID: 259, CAS Number: 24959-67-9, in total deposition@en",Air,
"bromine monoxide","IUPAC: n/a, PubChem CID: 5460627, CAS Number: 15656-19-6, in gas phase@en",Gas,
"bromodichloromethane","IUPAC: bromo(dichloro)methane, PubChem CID: 6359, CAS Number: 75-27-4, in gas phase@en",Gas,
"bromoform","IUPAC: bromoform, PubChem CID: 5558, CAS Number: 75-25-2, in gas phase@en",Gas,
"bromomethane","IUPAC: bromomethane, PubChem CID: 6323, CAS Number: 74-83-9, in gas phase@en",Gas,
"bromotrifluoromethane","IUPAC: bromo(trifluoro)methane, PubChem CID: 6384, CAS Number: 75-63-8, in gas phase@en",Gas,
"but-3-en-2-one","IUPAC: but-3-en-2-one, PubChem CID: 6570, CAS Number: 78-94-4, in gas phase@en",Gas,
"butadiene","IUPAC: buta-1,3-diene, PubChem CID: 7845, CAS Number: 106-99-0, in gas phase@en",Gas,
"butanal isomers","@en",Gas,
"Buxus","Box pollen@en",pollen,
"HFC-143a","IUPAC: 1,1,1-trifluoroethane, PubChem CID: 9868, CAS Number: 420-46-2, in gas phase@en",Gas,
"C6H6Cl6","IUPAC: 1,2,3,4,5,6-hexachlorocyclohexane, PubChem CID: 727, CAS Number: 319-84-6, in particle phase@en",aerosol particles\Gas\cloud,wet deposition\precipitation
"cadmium","IUPAC: cadmium, PubChem CID: 23973, CAS Number: 7440-43-9, in particle phase and deposition@en",air\aerosol particles,deposition\PM1\PM10\PM2.5\TSP
"Caesium-134","IUPAC: cesium-134, PubChem CID: 6335485, CAS Number: 13967-70-9@en",air,
"Caesium-136","IUPAC: cesium-136, PubChem CID: 6335316, CAS Number: 14234-29-8@en",air,
"Caesium-137","IUPAC: cesium-137, PubChem CID: 5486527, CAS Number: 10045-97-3@en",air,
"calcium(2+)","IUPAC: calcium(2+), PubChem CID: 271, CAS Number: 14127-61-8, in particle phase and deposition@en",Air\aerosol particles,total deposition\PM10\PM2.5\TSP
"camphene","IUPAC: 2,2-dimethyl-3-methylidenebicyclo[2.2.1]heptane, PubChem CID: 6616, CAS Number: 79-92-5, in gas phase@en",Gas,
"carbon dioxide","IUPAC: carbon dioxide, PubChem CID: 280, CAS Number: 124-38-9, in gas phase@en",Gas,
"carbon disulfide","IUPAC: methanedithione, PubChem CID: 6348, CAS Number: 75-15-0, in gas phase@en",Gas,
"carbon monoxide","IUPAC: carbon monoxide, PubChem CID: 281, CAS Number: 630-08-0, in gas phase@en",Gas,
